%time;field.yaw_measurement;field.distance_wall
1.6438E+18;-5.63442E+11;6.48335E+11
1.6438E+18;-5.63442E+11;6.4827E+11
1.6438E+18;-5.63442E+11;6.47992E+11
1.6438E+18;-5.63442E+11;6.47707E+11
1.6438E+18;-5.63442E+11;6.47726E+11
1.6438E+18;-5.63442E+11;64761724472
1.6438E+18;-5.63442E+11;6.47777E+11
1.6438E+18;-5.63442E+11;6.47807E+11
1.6438E+18;-5.63442E+11;6.4777E+11
1.6438E+18;-5.63442E+11;6.47798E+11
1.6438E+18;-5.63442E+11;6.47683E+11
1.6438E+18;-5.40592E+11;6.48651E+11
1.6438E+18;-5.40592E+11;6.48512E+11
1.6438E+18;-5.40592E+11;6.48342E+11
1.6438E+18;-5.40592E+11;6.48356E+11
1.6438E+18;-5.40592E+11;6.48231E+11
1.6438E+18;-5.40592E+11;6.48265E+11
1.6438E+18;-5.40592E+11;6.48193E+11
1.6438E+18;-5.40592E+11;6.4811E+11
1.6438E+18;-5.40592E+11;6.48333E+11
1.6438E+18;-5.40592E+11;6.48331E+11
1.6438E+18;-5.40592E+11;6.48484E+11
1.6438E+18;-5.40592E+11;6.48531E+11
1.6438E+18;-5.40592E+11;6.48549E+11
1.6438E+18;-5.40592E+11;6.48718E+11
1.6438E+18;-5.40592E+11;6.4872E+11
1.6438E+18;-5.40592E+11;6.48918E+11
1.6438E+18;-5.40592E+11;6.48883E+11
1.6438E+18;-5.40592E+11;6.48774E+11
1.6438E+18;-5.40592E+11;6.48793E+11
1.6438E+18;-5.40592E+11;6.48674E+11
1.6438E+18;-5.40592E+11;6.48755E+11
1.6438E+18;-5.40592E+11;6.48734E+11
1.6438E+18;-5.40592E+11;6.48678E+11
1.6438E+18;-5.40592E+11;6.48727E+11
1.6438E+18;-5.40592E+11;6.48547E+11
1.6438E+18;-5.40592E+11;6.48297E+11
1.6438E+18;-5.40592E+11;6.47955E+11
1.6438E+18;-5.40592E+11;6.47611E+11
1.6438E+18;-5.40592E+11;6.47561E+11
1.6438E+18;-5.40592E+11;64733953476
1.6438E+18;-5.40592E+11;6.47299E+11
1.6438E+18;-5.40592E+11;6.47137E+11
1.6438E+18;-5.40592E+11;6.46933E+11
1.6438E+18;-5.40592E+11;6.46685E+11
1.6438E+18;-5.40592E+11;6.46391E+11
1.6438E+18;-5.40592E+11;6.46608E+11
1.6438E+18;-5.40592E+11;6.46387E+11
